model,rmse,mae,r2,auc_top,average_precision,base_rate,precision_at_10,precision_at_30,precision_at_50,precision_at_100,recall_at_10,recall_at_30,recall_at_50,recall_at_100,lift_at_10,lift_at_30,lift_at_50,lift_at_100,tweedie_variance_power,num_leaves,min_child_samples,learning_rate,n_estimators,subsample,colsample_bytree,best_iteration
lgbm_tweedie_11,28529467.06909221,2418672.990597769,0.207105097823445,0.9124439813012438,0.5323925895050544,0.1069158878504673,0.9,0.7666666666666667,0.68,0.61,0.03146853146853147,0.08041958041958042,0.11888111888111888,0.21328671328671328,8.417832167832168,7.1707459207459205,6.36013986013986,5.70541958041958,1.7,31,30,0.03,2500,0.85,0.85,95
lgbm_tweedie_12,29670119.242997106,2591716.7460472337,0.1424353097746902,0.911268722905391,0.5317917714491266,0.1069158878504673,0.9,0.8,0.64,0.6,0.03146853146853147,0.08391608391608392,0.11188811188811189,0.2097902097902098,8.417832167832168,7.4825174825174825,5.986013986013986,5.611888111888112,1.7,63,30,0.03,2500,0.85,0.85,76
lgbm_tweedie_10,27451736.70134371,2367499.1378273265,0.26587847693002487,0.9120985753467964,0.5287315159842956,0.1069158878504673,0.9,0.8333333333333334,0.66,0.61,0.03146853146853147,0.08741258741258741,0.11538461538461539,0.21328671328671328,8.417832167832168,7.7942890442890445,6.173076923076923,5.70541958041958,1.7,15,30,0.03,2500,0.85,0.85,125
lgbm_tweedie_15,31571493.503754918,2841638.265365672,0.029001495202859662,0.9048099242741352,0.525888168418906,0.1069158878504673,0.9,0.7666666666666667,0.62,0.62,0.03146853146853147,0.08041958041958042,0.10839160839160839,0.21678321678321677,8.417832167832168,7.1707459207459205,5.798951048951048,5.798951048951048,1.9,63,30,0.03,2500,0.85,0.85,27
lgbm_tweedie_14,31465673.794392798,2850295.9136511437,0.03549967256436837,0.909994672552228,0.5227733637282319,0.1069158878504673,0.8,0.7666666666666667,0.62,0.58,0.027972027972027972,0.08041958041958042,0.10839160839160839,0.20279720279720279,7.4825174825174825,7.1707459207459205,5.798951048951048,5.424825174825174,1.9,31,30,0.03,2500,0.85,0.85,32
lgbm_tweedie_8,27033090.032223806,2423594.903113798,0.28809885897695187,0.911323607326119,0.521885601476911,0.1069158878504673,0.9,0.8333333333333334,0.68,0.59,0.03146853146853147,0.08741258741258741,0.11888111888111888,0.2062937062937063,8.417832167832168,7.7942890442890445,6.36013986013986,5.518356643356642,1.5,31,30,0.03,2500,0.85,0.85,117
lgbm_tweedie_9,27465290.333398957,2437254.4049709034,0.26515338842978753,0.9094436329681201,0.5201737111316322,0.1069158878504673,0.9,0.8666666666666667,0.7,0.6,0.03146853146853147,0.09090909090909091,0.12237762237762238,0.2097902097902098,8.417832167832168,8.106060606060606,6.547202797202797,5.611888111888112,1.5,63,30,0.03,2500,0.85,0.85,111
lgbm_tweedie_7,26569046.2024928,2440151.406754065,0.31232975131499197,0.907022864117883,0.5179293646188444,0.1069158878504673,0.9,0.8,0.66,0.6,0.03146853146853147,0.08391608391608392,0.11538461538461539,0.2097902097902098,8.417832167832168,7.4825174825174825,6.173076923076923,5.611888111888112,1.5,15,30,0.03,2500,0.85,0.85,115
lgbm_tweedie_13,30628743.045296643,2766191.0909320875,0.086125295999961,0.9105588843973105,0.5171347326740053,0.1069158878504673,0.9,0.7333333333333333,0.64,0.61,0.03146853146853147,0.07692307692307693,0.11188811188811189,0.21328671328671328,8.417832167832168,6.858974358974359,5.986013986013986,5.70541958041958,1.9,15,30,0.03,2500,0.85,0.85,64
lgbm_tweedie_6,28032770.815892324,2600231.6589175253,0.23447326886202802,0.8998293460411501,0.5002491687251789,0.1069158878504673,0.9,0.8,0.66,0.6,0.03146853146853147,0.08391608391608392,0.11538461538461539,0.2097902097902098,8.417832167832168,7.4825174825174825,6.173076923076923,5.611888111888112,1.3,63,30,0.03,2500,0.85,0.85,88
lgbm_tweedie_5,27755095.92663415,2575402.026918212,0.24956380499626818,0.8967506959344549,0.49976271329444927,0.1069158878504673,0.9,0.8666666666666667,0.68,0.61,0.03146853146853147,0.09090909090909091,0.11888111888111888,0.21328671328671328,8.417832167832168,8.106060606060606,6.36013986013986,5.70541958041958,1.3,31,30,0.03,2500,0.85,0.85,89
lgbm_tweedie_3,28126914.38322277,2673826.8271006676,0.22932283727442293,0.8950009806016503,0.49522599007567175,0.1069158878504673,0.9,0.7333333333333333,0.66,0.61,0.03146853146853147,0.07692307692307693,0.11538461538461539,0.21328671328671328,8.417832167832168,6.858974358974359,6.173076923076923,5.70541958041958,1.1,63,30,0.03,2500,0.85,0.85,109
lgbm_tweedie_4,28322169.42805835,2634418.9856390613,0.21858572563802925,0.8879523573956392,0.48500002829929256,0.1069158878504673,0.9,0.8,0.68,0.62,0.03146853146853147,0.08391608391608392,0.11888111888111888,0.21678321678321677,8.417832167832168,7.4825174825174825,6.36013986013986,5.798951048951048,1.3,15,30,0.03,2500,0.85,0.85,128
lgbm_tweedie_2,28228191.464753803,2734474.034427024,0.22376286334538031,0.8832366879667004,0.48264592070233747,0.1069158878504673,0.9,0.7333333333333333,0.66,0.6,0.03146853146853147,0.07692307692307693,0.11538461538461539,0.2097902097902098,8.417832167832168,6.858974358974359,6.173076923076923,5.611888111888112,1.1,31,30,0.03,2500,0.85,0.85,109
lgbm_tweedie_1,28038431.615789495,2774188.0336260675,0.23416406423779956,0.8256658577922706,0.4299856366508864,0.1069158878504673,0.9,0.7,0.62,0.58,0.03146853146853147,0.07342657342657342,0.10839160839160839,0.20279720279720279,8.417832167832168,6.547202797202797,5.798951048951048,5.424825174825174,1.1,15,30,0.03,2500,0.85,0.85,101
